WMA_NAME,WMA_ACRONYM,Airport,Combined Sewer,Landfill,Waste Facilities,Superfund
"Assiscunk, Crosswicks, and Doctors",ACD,,,3982.397642,3751.303244,3950.210594
Arthur Kill,AK,,1353.510199,,4318.235047,3304.019108
Barnegat Bay,BB,5171.865173,,2409.404424,1600.620572,2602.086662
Central Delaware,CD,6975.665411,,,7605.637618,6251.91811
Cape May,CM,,,8040.317086,,
Great Egg Harbor,GEH,3059.860377,,8731.454253,1391.218947,3906.96219
"Hackensack, Hudson, and Pascack",HHP,,543.5422893,,823.334887,
Lower Delaware,LD,4284.983762,,2367.178668,3990.421631,2102.015686
Lower Passaic and Saddle,LPS,,272.244925,3426.116079,4016.042424,3732.496286
"Lower Raritan, South River, and Lawrence",LRSL,3219.758539,,,2651.21724,3219.286733
Millstone,Millstone,6133.890068,,,5945.353934,
Monmouth,Monmouth,,,,3181.010407,1792.558098
"Maurice, Salem, and Cohansey",MSC,4872.563466,,7233.3241,4527.131522,5373.73396
Mullica,Mullica,4984.061519,,,,9303.755629
North and South Branch Raritan,NSBR,2486.267797,,,3526.594021,6721.624997
"Pompton, Pequannock, Wanaque, Ramapo",PPWR,,,,5154.516413,1149.641742
Rancocas,Rancocas,2272.210889,,3155.992261,1588.474829,1075.880063
Upper Delaware,UD,6243.17831,,4945.059342,4929.530485,7239.674942
"Upper Passaic, Whippany, and Rockaway",UPWR,4439.23457,,,3398.617742,2110.159082
Wallkill,Wallkill,,,,11866.24206,1824.93876
